Adj,,erwachsen,,adult,nicht mehr Kind; älter,Mit 18 Jahren wird man erwachsen.
Adj,,ursprünglich,,originally,am Anfang; original,Der ursprünglich geplante Termin wurde verschoben.
Adj,(un),aufmerksam,,attentive,gut zuhören oder genau beobachten,Sie ist immer sehr aufmerksam in Gesprächen.
Adj,(un),ehrlich,,honest,die Wahrheit sagen,Er ist immer ehrlich zu mir.
Adj,(un),geduldig,,patient,"warten können, ohne ärgerlich zu werden",Sie ist geduldig mit ihren Kindern.
Adj,,hübsch,,pretty,schön aussehen,Sie sieht heute besonders hübsch aus.
Adj,,hässlich,,ugly,nicht schön,"Der Hund ist hässlich, aber liebenswert."
Adj,(un),kreativ,,creative,neue Ideen haben,Der Designer ist sehr kreativ.
Adj,,liebevoll,,lovingly,freundlich und herzlich,Ihre Mutter ist immer so liebevoll zu ihr.
Adj,,lieblos,,loveless,kalt und ohne Herz,Er hat eine lieblos eingerichtete Wohnung.
Adj,,mutig,,brave,keine Angst haben,Der Soldat war mutig in der Schlacht.
Adj,,ängstlich,,fearful,viel Angst haben,Das Kind war ängstlich im Dunkeln.
Adj,(un),ordentlich,,orderly,sauber und organisiert,Ihr Zimmer ist immer ordentlich.
Adj,(un),praktisch,,practical,nützlich und einfach zu nutzen,Das ist eine sehr praktische Lösung.
Adj,,respektvoll,,respectful,höflich und mit Respekt,Er ist immer respektvoll gegenüber älteren Menschen.
Adj,,respektlos,,disrespectful,ohne Höflichkeit,Sein Verhalten war respektlos.
Adj,,schüchtern,,shy,nervös mit anderen Menschen,Sie ist schüchtern und spricht nicht viel.
Adj,(in),tolerant,,tolerant,andere Meinungen oder Unterschiede akzeptieren,Sie ist tolerant gegenüber anderen Kulturen.
Adj,(un),treu,,faithful,zuverlässig und loyal,Mein Hund ist immer treu.
Adj,,verständnisvoll,,understanding,mitfühlend; andere verstehen,Er ist sehr verständnisvoll bei Problemen.
Adj,,verständnislos,,uncomprehending,kein Mitgefühl zeigen,"Ihr Blick war verständnislos, als ich erklärte, was passiert war."
Adj,,verantwortungsvoll,,responsible,pflichtbewusst handeln,Er ist sehr verantwortungsvoll in seinem Job.
Adj,,verantwortungsloss,,irresponsible,ohne Verantwortung handeln,"Es war verantwortungslos, ohne Plan zu reisen."
Adj,(un),zuverlässig,,reliable,vertrauenswürdig und verlässlich,Du kannst dich immer auf ihn verlassen; er ist zuverlässig.
Adj,,neugierig,auf,curious,wissen wollen; interessiert,"Sie ist neugierig auf alles, was um sie herum passiert."
Adj,,stolz,auf,proud,zufrieden mit etwas,Er ist sehr stolz auf seine Arbeit.
Adj,,wütend,auf,angry,sehr ärgerlich,"Sie ist wütend auf mich, weil ich zu spät gekommen bin."
Adj,,anstrengen,,stressful,sich Mühe geben; hart arbeiten,Der Arbeitstag war wirklich anstrengend.
Adj,,aufgeregt,,upset,sehr gespannt oder nervös,Ich bin aufgeregt wegen des bevorstehenden Tests.
Adj,,gespannt,,excited,"neugierig auf etwas, was kommt",Wir sind alle gespannt auf den neuen Film.
Adj,,peinlich,,awkward,unangenehm; beschämend,Die Situation war sehr peinlich.
Sub,die,Stimmung,-en,Mood,wie man sich fühlt; die Atmosphäre,Die Stimmung auf der Party war fantastisch.
Sub,die,Beziehung,-en,Relationship,Verbindung zwischen Menschen,Ihre Beziehung ist sehr harmonisch.
Sub,der,Ehemann,ä-er,Husband,verheirateter Mann,Ihr Ehemann ist sehr nett.
Sub,die,Ehefrau,-en,Wife,verheiratete Frau,Die Ehefrau ist die wichtigste Person im Leben.
Sub,der,Lebensgefährte,,life partner,Partner im Leben,Er lebt mit seinem Lebensgefährten zusammen.
Sub,die,Nichte,-n,Niece,Tochter von Bruder oder Schwester,Meine Nichte ist erst fünf Jahre alt.
Sub,der,Neffe,-n,Nephew,Sohn von Bruder oder Schwester,Der Neffe meiner Freundin ist sehr klug.
Sub,der,Schwager,,brother-in-law,Ehemann von Schwester oder Bruder der Frau,Mein Schwager kommt uns bald besuchen.
Sub,die,Schwägerin,,sister-in-law,Ehefrau von Bruder oder Schwester des Mannes,Ich habe eine nette Schwägerin.
Sub,die,Schwiegermutter,,mother-in-law,Mutter des Ehepartners,Die Schwiegermutter ist sehr nett.
Sub,die,Freude,,Joy,Glück; fröhliches Gefühl,Die Freude über den Sieg war groß.
Sub,die,Fröhlichkeit,,happiness,Zustand des Glücklichseins,Fröhlichkeit ist ansteckend.
Sub,die,Langeweile,,boredom,"Gefühl, wenn nichts interessant ist",An einem regnerischen Tag habe ich oft Langeweile.
Sub,die,Neugier,,curiosity,"Wunsch, Neues zu lernen",Ihre Neugier ist grenzenlos.
Sub,der,Stolz,,Pride,gutes Gefühl über sich selbst oder andere,Er zeigte großen Stolz auf seine Leistung.
Sub,die,Traurigkeit,,sadness,Gefühl des Traurigseins,Die Traurigkeit war ihr anzusehen.
Sub,das,Vertrauen,,Trust,"Glaube, dass jemand zuverlässig ist",Vertrauen ist das Fundament jeder Beziehung.
Sub,die,Wut,,Fury,starkes Gefühl von Ärger,Ihre Wut war nicht zu übersehen.
Verb,,aufwachsen,,grow up,älter werden; groß werden.,Die Kinder werden schnell aufwachsen.
Verb,,beschließen,(+A),decide,sich entscheiden; einen Plan machen.,"Wir haben beschlossen, nach Berlin zu ziehen."
Verb,sich (=A),entschließen,,decide,fest entscheiden,"Er hat sich entschlossen, das Angebot anzunehmen."
Verb,sich (=D),leisten,(+A),afford,etwas schaffen oder machen,Sie kann sich das neue Auto leisten.
Verb,,nennen,(+A),to name,einen Namen geben,Er hat seinen Sohn Paul genannt.
Verb,,stammen aus,(+D),come from,aus einem Ort oder einer Zeit kommen,Sie stammt aus Frankreich.
Verb,,überlegen,(+A),ponder,nachdenken,"Sie überlegt, ob sie den Job annehmen soll."
Verb,,verändern,(+A) sich/etwas,change,anders machen,Sie hat ihre Meinung verändert.
Verb,,zurück gehen,,go back,"wieder dorthin gehen, wo man war",Ich werde später zurück gehen.
Verb,sich(=A),scheiden lassen,(von +D),divorce,die Ehe beenden,Sie haben sich nach zehn Jahren scheiden lassen.
Verb,sich(=A),trennen,(von +D),separate,auseinandergehen,Sie haben sich vor einem Jahr getrennt.
Verb,sich(=A),langweilen,,bored,uninteressant finden,Ich langweile mich heute Nachmittag