Type,Prefix,Word,suffix,Translation,Definition,Example
Adj,,alleinerziehend,,single parent,ein Elternteil ohne Partner.,Sie ist eine alleinerziehende Mutter.
Adj,,alltäglich,,everyday,normal und gewöhnlich.,Diese Probleme sind alltäglich im Büro.
Adj,,gleichaltrig,,same age,im gleichen Alter.,Mein Bruder und ich sind fast gleichaltrig.
Adj,,gleichberechtigt,,equal,gleiche Rechte haben.,Männer und Frauen sollten gleichberechtigt sein.
Adj,,rechzeitig,,in good time,pünktlich oder früh genug.,Wir kamen rechtzeitig zum Zug.
Adj,,legal,,legal,gesetzlich erlaubt.,Der Vertrag ist legal gültig.
Adj,,speziell,,special,besonders oder ungewöhnlich.,Diese Regelung gilt nur in speziellen Fällen.
Adv,,hin,,there,in eine bestimmte Richtung.,"Gehe dorthin, wo das Licht ist."
Adv,,her,,here,in die Richtung des Sprechenden.,Komm schnell her!
Phrase,,etwas im Sinn haben,,have something in mind,an etwas denken oder planen.,Hast du etwas Bestimmtes im Sinn?
Prep,,aus,,out of,von innen nach außen.,Er holte den Brief aus der Tasche.
Prep,,um,,around,in der Nähe oder kreisförmig.,Wir gingen um das Haus herum.
Sub,das,Alter,,the age,wie alt jemand ist.,Das Alter spielt keine Rolle.
Sub,die,Besonderheit,-en,the special feature,etwas Spezielles oder Einzigartiges.,Die Besonderheit des Gebäudes ist sein Dach.
Sub,das,Erwachsenenalter,,adulthood,"die Zeit, wenn man erwachsen ist.",Im Erwachsenenalter hat man viele Pflichten.
Sub,die,Fähigkeit,-en,the ability,was jemand tun kann.,"Sie hat die Fähigkeit, schnell zu lernen."
Sub,die,Freiheit,-en,the freedom,"Zustand, frei zu sein.",Freiheit ist ein Grundrecht.
Sub,die,Geburt,-en,the birth,wenn ein Baby geboren wird.,Die Geburt war ein besonderer Moment.
Sub,die,Gleichberechtigung,,the equality,gleiche Rechte für alle.,Wir kämpfen für die Gleichberechtigung der Frauen.
Sub,die,Jugend,,the youth,"die Zeit, wenn man jung ist.",In meiner Jugend war ich oft draußen.
Sub,die,Kinderbetreuung,,childcare,sich um Kinder kümmern.,Die Kinderbetreuung ist sehr teuer.
Sub,die,Kinderziehung,,raising children,Kinder großziehen und lehren.,Kindererziehung ist eine große Verantwortung.
Sub,die,Kindheit,-en,the childhood,"die Zeit, wenn man ein Kind ist.",Meine Kindheit war sehr glücklich.
Sub,die,Schwangerschaft,-en,the pregnancy,"die Zeit, wenn eine Frau ein Baby erwartet.",Ihre Schwangerschaft dauert noch drei Monate.
Sub,die,Schwierigkeit,-en,the difficulty,"etwas, das schwer ist.",Die Schwierigkeit liegt in den Details.
Sub,die,Selbständigkeit,,the independence,allein handeln oder leben können.,Selbständigkeit lernt man oft im Studium.
Sub,die,Sicherheit,-en,the security,Schutz vor Gefahr.,Sicherheit ist in diesem Beruf sehr wichtig.
Sub,die,Unterstützung,-en,the support,Hilfe oder Beistand geben.,Wir brauchen Ihre Unterstützung bei diesem Projekt.
Sub,die,Verrücktheit,-en,the craziness,ungewöhnliches oder verrücktes Verhalten.,Seine Verrücktheit bringt alle zum Lachen.
Sub,die,Wirklichkeit,-en,the reality,was wirklich existiert.,Die Wirklichkeit sieht oft anders aus.
Sub,der,Möbelwagen,,the furniture truck,"ein LKW, der Möbel transportiert.",Der Möbelwagen steht vor dem Haus.
Sub,der,Umzug,ü-en,the move,das Wechseln von einem Wohnort zum anderen.,Der Umzug war sehr stressig.
Sub,der,Unzugskarton,-s,the moving box,eine Kiste für den Transport von Sachen.,Wir brauchen noch mehr Umzugskartons.
Sub,der,Storm,,the storm,sehr schlechtes Wetter mit Wind und Regen.,Der Sturm hat viele Bäume umgeweht.
Sub,der,Abschluss,ü-e,the conclusion,das Ende von etwas.,Der Abschluss der Feier war beeindruckend.
Sub,der,Antrag,ä-e,the application,ein offizielles Gesuch um etwas.,Der Antrag wurde genehmigt.
Sub,der,Aufenthalt,-e,the stay,"Zeit, die man an einem Ort verbringt.",Unser Aufenthalt in Berlin war wunderbar.
Sub,die,Arbeitserlaubnis,-se,the work permit,"Erlaubnis, in einem Land zu arbeiten.",Ohne Arbeitserlaubnis darf ich nicht arbeiten.
Sub,die,Behörde,-n,the authority,eine offizielle Organisation des Staates.,Die Behörde bearbeitet den Antrag.
Sub,die,Botschaft,-en,the embassy,Vertretung eines Landes im Ausland.,Wir müssen zur deutschen Botschaft gehen.
Sub,das,Dokument,-e,the document,ein offizielles Papier mit Informationen.,Ich habe alle wichtigen Dokumente dabei.
Sub,die,Duldung,,the toleration,"Erlaubnis, vorübergehend in einem Land zu bleiben.",Er lebt hier mit einer Duldung.
Sub,die,Eingewöhnung,,the acclimatization,sich an eine neue Umgebung gewöhnen.,Die Eingewöhnung in die neue Stadt war schwierig.
Sub,die,Herausforderung,-en,the challenge,"etwas, das schwierig, aber lohnend ist.",Diese Aufgabe ist eine große Herausforderung.
Sub,das,Konsulat,-e ,the consulate,Büro eines Landes in einer Stadt im Ausland.,Das Konsulat hilft bei Visumfragen.
Sub,das,Missverständnis,-se,the misunderstanding,wenn man etwas falsch versteht.,Es gab ein Missverständnis im Gespräch.
Sub,das,Visum,,the visa,"Erlaubnis, in ein Land einzureisen.",Mein Visum wurde abgelehnt.
Sub,die,Voraussetzung,-en,the requirement,"etwas, das nötig ist, damit etwas passiert.",Gute Sprachkenntnisse sind eine Voraussetzung.
Verb,,ein Baby bekommen,,have a baby,ein Kind zur Welt bringen.,Sie hat letzte Woche ein Baby bekommen.
Verb,,betreuen,(+A),look after,sich um jemanden kümmern.,Ich betreue die Kinder meiner Nachbarn.
Verb,,erzeihen,(+A),raise,jemandem Werte und Benehmen beibringen.,Eltern sollten ihre Kinder gut erziehen.
Verb,,finanzieren,(+A),finance,für die Kosten aufkommen.,Wie finanzieren wir unser neues Projekt?
Verb,,unterstützen,(+A),support,Hilfe oder Beistand leisten.,Wir unterstützen die neue Initiative.
Verb,,verbringen,(+A),spend,Zeit an einem Ort oder mit etwas nutzen.,Ich verbringe gerne Zeit am Strand.
Verb,sich,anschaffen,(+A),acquire,etwas kaufen oder beschaffen.,Ich möchte mir ein neues Auto anschaffen.
Verb,an,schließen,(+A),connect,zwei Dinge miteinander verbinden.,Kannst du den Drucker anschließen?
Verb,an,stellen,(+A),hire,jemanden für eine Arbeit einstellen.,Die Firma möchte neue Mitarbeiter anstellen.
Verb,aus,stellen,(+A),exhibit,etwas öffentlich zeigen.,Das Museum stellt alte Kunstwerke aus.
Verb,ein,richten,(+A),furnish,ein Zimmer oder Haus dekorieren und einrichten.,Wir richten gerade unser Wohnzimmer ein.
Verb,an,erkennen,(+A),recognize,jemanden oder etwas identifizieren.,Ich habe ihn sofort an seiner Stimme erkannt.
Verb,aus,reichen,,be sufficient,genug sein.,Das Essen reicht für alle aus.
Verb,,beantragen,(+A),apply for,offiziell um etwas bitten.,Wir haben das Visum rechtzeitig beantragt.
Verb,,besitzen,(+A),own,etwas haben.,Er besitzt ein großes Haus.
Verb,sich,gewöhnen an,,get used to,sich an etwas Neues anpassen.,Ich muss mich an das neue Klima gewöhnen.